Tools,MM1,MM2,MM3,MM4,MM5,MM6,MM7,MM8,MM9,MM10,MM11,MM12,MM13,MM14,MM15,MM16,MM17,MM18,MM19,MM20
blat,1,13,2,3,4,14,6,7,8,9,10,11,12,13,15,16,16,16,16,16
blasr,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0
bowtie2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bowtie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bwa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
erne,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
exonerate,2,34,6,8,10,44,14,16,18,20,22,24,26,28,34,44,34,36,38,40
graphmap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gsnap,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
hisat2,1,2,3,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1
last,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lordfast,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
microrazers,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
minialign,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
minimap2,1,2,3,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
MOSAIK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
novoalign,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mummer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nanoblaster,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
ngmlr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ngm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
novoalign,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rmap,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
segemehl,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
shrimp,1,2,3,4,5,10,7,8,9,10,10,10,10,10,10,10,10,10,10,10
smalt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
snap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
soapsplice,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
splazers,1,3,6,10,15,21,28,36,45,55,66,78,91,100,100,100,100,100,100,100
STAR,1,2,3,4,5,6,7,8,9,10,1,1,1,1,1,1,1,1,1,1
subread,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tophat2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
